,index,amount,unit,reference product,name,location,database,EF v3.1 | acidification | accumulated exceedance (AE),EF v3.1 | climate change | global warming potential (GWP100),EF v3.1 | ecotoxicity: freshwater | comparative toxic unit for ecosystems (CTUe),EF v3.1 | energy resources: non-renewable | abiotic depletion potential (ADP): fossil fuels,EF v3.1 | eutrophication: freshwater | fraction of nutrients reaching freshwater end compartment (P),EF v3.1 | eutrophication: marine | fraction of nutrients reaching marine end compartment (N),EF v3.1 | eutrophication: terrestrial | accumulated exceedance (AE),EF v3.1 | human toxicity: carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | human toxicity: non-carcinogenic | comparative toxic unit for human (CTUh),EF v3.1 | ionising radiation: human health | human exposure efficiency relative to u235,EF v3.1 | land use | soil quality index,EF v3.1 | material resources: metals/minerals | abiotic depletion potential (ADP): elements (ultimate reserves),EF v3.1 | ozone depletion | ozone depletion potential (ODP),EF v3.1 | particulate matter formation | impact on human health,EF v3.1 | photochemical oxidant formation: human health | tropospheric ozone concentration increase,EF v3.1 | water use | user deprivation potential (deprivation-weighted water consumption)
0,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul",EUR,remind - SSP2-Base - 2030,11.302528875353008,1275.9482734138192,19964.065986313966,23332.523021245655,0.9686850629649482,1.568869995282795,16.41692834845815,4.367265221982411e-06,0.00011047013004194762,266.70696326928777,27602.53153442634,0.14706848460888117,5.730582602765789e-05,0.000540971803102106,6.357450764317196,1070.6317799821065
1,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery",EUR,remind - SSP2-Base - 2030,15.443472560664478,1938.393807756952,27173.59664631432,35990.862458158226,1.4437105796024745,2.301143612345288,23.55447573644176,5.7490712642255146e-06,0.00014539903391516337,462.88795453643036,41686.07259240037,0.1921982003594022,8.155562395576595e-05,0.0007186539085468081,9.370666118934874,1357.6267862773564
2,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-Base - 2030,4.26405068735879,1101.8430475026257,6946.3523555941765,17707.76904476569,0.23524362053811257,0.7970509562097097,9.15206403027868,1.3423181529389778e-06,3.7013070834745736e-05,41.16352243868953,19343.335726295125,0.035461742115782936,2.945870945750376e-05,0.0002887331375605305,4.285492699868497,197.68225736368592
3,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, regional delivery",EUR,remind - SSP2-Base - 2030,9.298112887704043,2348.750470669149,14842.515406573451,37054.33841407276,0.5227178431128587,1.652504778797879,19.466214362571833,2.891473111961515e-06,8.212958497063279e-05,88.95749758945166,34692.18633972956,0.08196401668399539,6.312531169101038e-05,0.0005749360086631661,8.689163612879172,428.7141359598483
4,"transport, freight, lorry, EURO-VI | transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-Base - 2030,4.679713002279734,1120.2730910087662,10715.40235704986,16285.562956216809,0.21293145561892124,1.037859081957147,10.518813652355444,1.2036915613931882e-06,3.6133337588354116e-05,32.455642517572485,20256.23557975123,0.03705928910536704,3.1915626494613046e-05,0.0002844901563340954,4.909055830981654,223.61899689278465
5,"transport, freight, lorry, EURO-VI | transport, freight, lorry, diesel, 18t gross weight, EURO-VI, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, regional delivery",EUR,remind - SSP2-Base - 2030,10.48681340143979,2387.818683672939,23061.018451583655,34175.7709278956,0.47532507118260336,2.367528377756244,24.115915666274063,2.6947583324868577e-06,8.026900580489342e-05,70.44680978484905,36886.22726722057,0.08458757270887425,6.875250929421084e-05,0.0005672578036646935,10.568374261328042,486.89066229210994
6,"transport, freight, lorry | transport, freight, lorry, fuel cell electric, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 18t gross weight, long haul",EUR,remind - SSP2-Base - 2030,14.961522851520462,1318.1382225655798,12472.808651264666,21075.55940335349,0.44307785321787113,1.6142616723035978,20.698326337782262,2.086184629337522e-06,4.347141128687648e-05,57.07133366925253,20913.730837939886,0.05386995728846566,0.0007950399561349041,0.00032871842614900604,7.231965794991576,365.6194190769344
7,"transport, freight, lorry | transport, freight, lorry, fuel cell electric, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2030",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 18t gross weight, regional delivery",EUR,remind - SSP2-Base - 2030,31.721132030948933,2667.5548637973807,25410.78257073311,42090.688889557496,0.9317122928786461,3.2793742047722083,42.479831584198045,4.336123812691363e-06,8.405158397476343e-05,116.00066555772219,37063.46280505382,0.11235613459570243,0.0017279967526230196,0.0005922693244816386,14.557568727320369,736.9368439694753
8,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, long haul",EUR,remind - SSP2-Base - 2050,5.779720956563458,524.2358453783172,12187.229109793618,9617.851584488062,0.3688910523284187,0.8410178330908092,8.987045709789667,2.4739967505890773e-06,7.71445747390312e-05,53.53151659656619,22430.019865083967,0.0871930832410394,3.464280927598861e-05,0.0004878381698111729,3.6939881390174647,555.3668958784413
9,"transport, freight, lorry | transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, battery electric, NMC-622 battery, 18t gross weight, regional delivery",EUR,remind - SSP2-Base - 2050,9.082414984238067,882.4601213882058,19547.285471231353,15585.854418865274,0.6062425508282794,1.3984211853771413,14.621588767363306,3.790973601592141e-06,0.00011124856735512653,88.96265039801008,36859.50206274646,0.1448277393059419,5.6267079938954716e-05,0.0006582096607674981,6.069730357325314,798.9460021189615
10,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-Base - 2050,3.810973536193293,871.5112533179918,6939.074800758768,14232.328351191989,0.1804501614932544,0.7120679149914547,8.074462039265686,1.2498904702188717e-06,3.707954920321161e-05,20.74717506571472,19330.381947485803,0.04228017717295333,2.951716702772063e-05,0.0002837526520304334,3.758350939931579,191.17921720982383
11,"transport, freight, lorry, EURO-VI | transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, compressed gas, 18t gross weight, EURO-VI, regional delivery",EUR,remind - SSP2-Base - 2050,8.381800588813679,1876.5121302081293,14928.764552218188,29874.08500195144,0.40547844057219773,1.478418584001284,17.3783639457435,2.6885930601948402e-06,8.284239670325113e-05,44.65148856874398,34569.14857712877,0.09661891002558537,6.278682768899981e-05,0.0005675557125893687,7.604252653018454,415.07389994104875
12,"transport, freight, lorry, EURO-VI | transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, long haul",EUR,remind - SSP2-Base - 2050,4.848854997129119,799.3768094941678,12011.975448131147,11615.592764774148,0.1857208854997564,1.5796113588020744,11.7919712035491,1.1940702511152186e-06,3.865962177023348e-05,16.774068475132,36331.18214834168,0.04404780664788675,3.1423975583799015e-05,0.0002863814381108475,3.9137351114764876,659.2410763562664
13,"transport, freight, lorry, EURO-VI | transport, freight, lorry, diesel, 18t gross weight, EURO-VI, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry, EURO-VI","transport, freight, lorry, diesel, 18t gross weight, EURO-VI, regional delivery",EUR,remind - SSP2-Base - 2050,10.993233329746056,1687.6366046032924,25849.906176883924,23981.412589655316,0.4163292728217712,3.6141746652566353,27.73129949084381,2.6555540798967356e-06,8.564222635875129e-05,35.92429517316628,71351.94336048246,0.10043857828564501,6.662439000024597e-05,0.000571938114295478,8.60683284290037,1425.222920623861
14,"transport, freight, lorry | transport, freight, lorry, fuel cell electric, 18t gross weight, long haul | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 18t gross weight, long haul",EUR,remind - SSP2-Base - 2050,7.648456054923548,874.5307329864911,9120.089599452996,14278.750143661835,0.24796643750359076,0.9891080699973489,11.914459306395555,1.4599733669099456e-06,3.865892834533326e-05,19.40714899228109,19152.94715920582,0.050471614409461685,0.00034965996532792707,0.00029808523675401046,4.612614231381226,249.97053191266147
15,"transport, freight, lorry | transport, freight, lorry, fuel cell electric, 18t gross weight, regional delivery | EUR | ton-kilometer | remind - SSP2-Base - 2050",10000.0,ton-kilometer,"transport, freight, lorry","transport, freight, lorry, fuel cell electric, 18t gross weight, regional delivery",EUR,remind - SSP2-Base - 2050,16.182454575650798,1748.3927450828696,18664.38742173645,27991.913767167858,0.5349755104417646,1.965086268079363,23.895759642554857,3.062321248045218e-06,7.512468424200067e-05,39.680050567953884,33501.687984139615,0.1100146374230118,0.0007650536166537555,0.0005269866916002083,9.044345198884384,510.17537820028986
